Iteration, Correct Rate, Training Error
0, 0.41189999999999993, 0.06524791370579482
10, 0.43603333333333333, 0.061373963370196585
20, 0.4346, 0.06115778407095847
30, 0.44059999999999994, 0.061035326138885064
40, 0.44036666666666663, 0.06093116557380826
50, 0.4401999999999999, 0.06084410124074667
60, 0.43943333333333334, 0.06076888932311662
70, 0.43839999999999996, 0.060683939053659576
80, 0.4394666666666666, 0.06063934649952155
90, 0.44210000000000005, 0.060581800630044605
100, 0.44209999999999994, 0.06054075861154985
110, 0.44166666666666665, 0.060480143411965503
120, 0.43923333333333325, 0.06045257520040985
130, 0.43873333333333336, 0.060427780640025935
140, 0.43870000000000003, 0.06039819718890078
150, 0.4385666666666667, 0.06038494703826037
160, 0.44026666666666675, 0.06033337052725362
170, 0.43816666666666665, 0.06031751577720875
180, 0.43796666666666667, 0.06031541781414221
190, 0.43796666666666667, 0.06027132474952857
200, 0.43796666666666656, 0.060317270942813715
210, 0.44439999999999996, 0.060275345009737864
220, 0.44086666666666663, 0.060275611244822724
230, 0.4385333333333333, 0.060219870181079035
240, 0.4409666666666666, 0.06023880854585394
250, 0.44310000000000005, 0.06023931619194167
260, 0.4425, 0.06025324760330916
270, 0.44286666666666663, 0.060214123945244086
280, 0.4440333333333334, 0.060174630775089714
290, 0.4438666666666667, 0.06013437251160071
300, 0.44420000000000004, 0.06012425010537788
310, 0.43916666666666676, 0.06016933666514694
320, 0.44033333333333335, 0.06016472852854481
330, 0.4393, 0.060167502395818175
340, 0.4394666666666667, 0.06013106130525527
350, 0.4402333333333333, 0.0601747988130219
360, 0.4400666666666667, 0.060168597382626615
370, 0.4400666666666667, 0.06011752943072805
380, 0.4369, 0.06016637125815423
390, 0.4398666666666666, 0.06015527520065654
400, 0.4391333333333334, 0.06014901071624749
410, 0.43706666666666666, 0.06019195788793141
420, 0.43649999999999994, 0.060165199018518654
430, 0.4363333333333333, 0.06017033641911496
440, 0.4368666666666666, 0.060211638246087364
450, 0.4374333333333333, 0.06017022450504515
460, 0.44023333333333337, 0.060175071173807666
470, 0.44276666666666664, 0.06013405360926445
480, 0.43843333333333334, 0.06011062741501914
490, 0.4370333333333333, 0.060102368803715195
500, 0.4393333333333333, 0.06015254242198688
510, 0.4372333333333333, 0.0601774995761794
520, 0.43743333333333323, 0.06016458935491027
530, 0.4369666666666666, 0.06015367908318348
540, 0.43759999999999993, 0.0601344445952834
550, 0.4369333333333334, 0.06011918702698171
560, 0.43706666666666677, 0.06008301853535041
570, 0.4374, 0.060105252461581195
580, 0.4369, 0.06004814049411576
590, 0.43759999999999993, 0.06014585124929142
600, 0.4371666666666666, 0.06011971831949731
610, 0.43653333333333333, 0.06011687261447293
620, 0.4380333333333333, 0.06015037628567903
630, 0.43763333333333326, 0.06010810202586924
640, 0.4375333333333334, 0.06008640526720987
650, 0.4413, 0.06009035138416049
660, 0.44049999999999995, 0.06008814433483523
670, 0.43956666666666666, 0.060049106841644044
680, 0.4405333333333334, 0.06012046590505504
690, 0.44350000000000006, 0.060049857887952335
700, 0.4413, 0.06006019084990341
710, 0.44083333333333347, 0.06001317749683062
720, 0.4398666666666667, 0.060083208454143326
730, 0.44246666666666673, 0.06010917966798357
740, 0.4438333333333333, 0.060102147435231394
750, 0.44126666666666664, 0.06009365513627317
760, 0.44173333333333337, 0.06016286865676945
770, 0.44223333333333337, 0.060157338149235545
780, 0.4413333333333333, 0.06014317401360573
790, 0.44149999999999995, 0.06016973055635755
800, 0.44160000000000005, 0.06017160217273178
810, 0.44186666666666663, 0.06019600680546263
820, 0.44043333333333323, 0.060186612734738576
830, 0.4372333333333333, 0.06014974700195085
840, 0.4378666666666667, 0.060145361565048225
850, 0.4383, 0.06012197117252784
860, 0.43826666666666664, 0.060112125465913165
870, 0.43826666666666664, 0.06011362084503836
880, 0.43829999999999997, 0.06013434215208058
890, 0.4382000000000001, 0.06010970045530469
900, 0.4387666666666667, 0.06012187993050634
910, 0.438, 0.06020273581643928
920, 0.43749999999999994, 0.060160222993536176
930, 0.4379, 0.060194207780755425
940, 0.4378666666666666, 0.060171730194703565
950, 0.4376999999999999, 0.06018941358526002
960, 0.43770000000000003, 0.06012691990538426
970, 0.43776666666666664, 0.0601557597206658
980, 0.4362, 0.060159986902315256
990, 0.4380666666666666, 0.060129456713938274
